x y
0	0
0.0066666667	0.0661746567
0.0133333333	0.1311778721
0.02	0.1947354145
0.0266666667	0.2565831285
0.0333333333	0.3164679787
0.04	0.3741490307
0.0466666667	0.4293983642
0.0533333333	0.482001917
0.06	0.5317602556
0.0666666667	0.5784892701
0.0733333333	0.6220207922
0.08	0.6622031337
0.0866666667	0.6989015439
0.0933333333	0.7319985865
0.1	0.7613944332
0.1066666667	0.7870070761
0.1133333333	0.8087724565
0.12	0.8266445132
0.1266666667	0.8405951491
0.1333333333	0.850614119
0.14	0.8567088383
0.1466666667	0.8589041163
0.1533333333	0.8572418152
0.16	0.8517804374
0.1666666667	0.842594645
0.1733333333	0.8297747122
0.18	0.8134259165
0.1866666667	0.7936678707
0.1933333333	0.7706337999
0.2	0.744469767
0.2066666667	0.7153338524
0.2133333333	0.6833952893
0.22	0.6488335622
0.2266666667	0.6118374708
0.2333333333	0.5726041653
0.24	0.5313381569
0.2466666667	0.4882503087
0.2533333333	0.4435568116
0.26	0.3974781502
0.2666666667	0.3502380631
0.2733333333	0.3020625024
0.28	0.2531785975
0.2866666667	0.2038136266
0.2933333333	0.1541940023
0.3	0.1045442733
0.3066666667	0.0550861483
0.3133333333	0.0060375457
0.32	-0.042388328
0.3266666667	-0.089983866
0.3333333333	-0.1365479122
0.34	-0.1818865727
0.3466666667	-0.2258139837
0.3533333333	-0.2681530337
0.36	-0.3087360371
0.3666666667	-0.3474053566
0.3733333333	-0.3840139729
0.38	-0.4184259995
0.3866666667	-0.4505171408
0.3933333333	-0.4801750924
0.4	-0.5072998835
0.4066666667	-0.5318041585
0.4133333333	-0.5536133998
0.42	-0.5726660895
0.4266666667	-0.5889138117
0.4333333333	-0.6023212946
0.44	-0.612866394
0.4466666667	-0.6205400175
0.4533333333	-0.6253459929
0.46	-0.6273008793
0.4666666667	-0.6264337252
0.4733333333	-0.6227857733
0.48	-0.6164101155
0.4866666667	-0.6073712986
0.4933333333	-0.5957448857
0.5	-0.5816169729
0.5066666667	-0.5650836665
0.5133333333	-0.5462505214
0.52	-0.525231946
0.5266666667	-0.5021505748
0.5333333333	-0.4771366128
0.54	-0.4503271546
0.5466666667	-0.4218654826
0.5533333333	-0.391900346
0.56	-0.3605852253
0.5666666667	-0.3280775856
0.5733333333	-0.2945381223
0.58	-0.2601300014
0.5866666667	-0.2250180997
0.5933333333	-0.1893682476
0.6	-0.1533464767
0.6066666667	-0.1171182775
0.6133333333	-0.0808478687
0.62	-0.0446974821
